;Zinc_ID;SMILES;MolecularFormula;MolWt;MolLogp;HAcceptors;HDonors;RotableBonds;RindCount;TPSA
64;ZINC000248083654;CN[C@@H]1[C@H](O)[C@H](O)OC[C@]1(C)O;C7H15NO4;177.10010796;-1.9650999999999998;5;4;1;1;81.95
65;ZINC000013553993;O=C1C=C(CO)[C@H](O)[C@H]2O[C@@H]12;C7H8O4;156.042258736;-1.3839000000000001;4;2;1;2;70.06
66;ZINC000100028960;O=C(O)[C@@H](O)C(=O)[C@H](O)[C@@H](O)CO;C6H10O7;194.04265266;-3.2849;6;5;5;0;135.29
67;ZINC000085734908;CC[C@@H]1C[C@H](O)[C@H](O)[C@H](CO)N1;C8H17NO3;175.120843404;-1.1590000000000003;4;4;2;1;72.72
68;ZINC000013352702;C[C@@H](O)[C@@H](NC=O)C(=O)O;C5H9NO4;147.053157768;-1.4335999999999995;3;3;4;0;86.63000000000001
69;ZINC000014584229;CO[C@@H]1[C@@H](O)[C@H](CO)O[C@H]1O;C6H12O5;164.068473484;-1.9282;5;3;2;1;79.15
70;ZINC000001760171;O=C[C@H](O)[C@@H](O)CO;C4H8O4;120.04225873600001;-2.1006;4;3;3;0;77.76
71;ZINC000003861798;O=C1O[C@H](CO)[C@@H](O)[C@@H]1O;C5H8O5;148.037173356;-2.3741000000000008;5;3;1;1;86.99000000000001
72;ZINC000261361996;OC[C@@H]1O[C@H](F)[C@H](O)[C@@H](O)[C@@H]1O;C6H11FO5;182.059051672;-2.2441999999999998;5;4;1;1;90.15
73;ZINC000002504425;COC[C@H](O)CO;C4H10O3;106.06299418;-1.0139999999999998;3;2;3;0;49.69
74;ZINC000137815004;C[C@H](O)[C@H](O)[C@H](O)[C@@H](O)CO;C6H14O5;166.084123548;-2.5578000000000007;5;5;4;0;101.15
75;ZINC000004096823;O=C(O)C(=O)CS(=O)(=O)O;C3H4O6S;167.972858848;-1.4720999999999997;4;2;3;0;108.74
76;ZINC000306684603;OC[C@@H]1N[C@H]([C@@H](O)CO)C[C@H]1O;C7H15NO4;177.10010796;-2.5766999999999993;5;5;3;1;92.95
77;ZINC000006019976;C[C@H](O)C#CC#CC#CC#CC(N)=O;C11H7NO2;185.047678464;-1.1339000000000004;2;2;0;0;63.32
78;ZINC000013514753;O=C(O)c1nc(=O)[nH]c(=O)[nH]1;C4H3N3O4;157.012355576;-1.8436000000000003;4;3;1;1;115.90999999999997
79;ZINC000038545493;NC1=N[C@H]2N=CN=C2C(=O)N1;C5H5N5O;151.04940978;-1.7600999999999998;5;2;0;2;92.19999999999999
80;ZINC000253639163;O[C@@H]1[C@@H]2O[C@H]2[C@@H](O)[C@H](O)[C@@H]1O;C6H10O5;162.05282342;-2.789;5;4;0;2;93.45
81;ZINC000257380472;OCC1=C[C@H](O)[C@@H](O)[C@H]1O;C6H10O4;146.0579088;-1.9986000000000006;4;4;1;1;80.92
82;ZINC000003830876;OC[C@H]1O[C@@](O)(CO)[C@@H](O)[C@@H]1O;C6H12O6;180.063388104;-3.2197999999999998;6;5;2;1;110.38000000000001
83;ZINC000033685626;N[C@H](C=O)[C@H](O)[C@@H](O)CCO;C6H13NO4;163.084457896;-2.383199999999999;5;4;5;0;103.78000000000002
