zinc_id,smiles
ZINC000306383366,CN1[C@H](CO)[C@H](O)C[C@@H](O)[C@H]1CO
ZINC000001565766,N=C(N)NC[C@@H](O)CC(=O)O
ZINC000038523235,CC[C@@H]1C[C@@H](O)[C@H](O)[C@@H](CO)N1
ZINC000090225648,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO
ZINC000003869934,O=C(O)[C@H](O)COP(=O)(O)O
ZINC000069486910,NCC(=O)NC=C(O)O
ZINC000015121708,O=C(O)N[C@@H]1NC(=O)NC1=O
ZINC000001566762,C[C@@H]1O[C@H](O)C[C@@H](O)[C@H]1O
ZINC000100824528,O[C@H]1C[C@H](O)[C@]2(O)N[C@H]1C[C@@H]2O
ZINC000095617504,Nc1nc(=O)[nH]c2[nH]c(=O)[nH]c12
ZINC000253639162,O[C@H]1[C@@H](O)[C@@H](O)[C@@H](O)[C@H]2O[C@@H]12
ZINC000040456294,O=CN[C@H](CO)C(=O)O
ZINC000001529518,O=C1CNC(=O)CN1
ZINC000238720606,O=C1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@@H]1O
ZINC000255982183,N[C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O
ZINC000003870037,C[C@H](O)[C@H](O)[C@H](O)[C@@H](O)C=O
ZINC000004095505,O=C1C[C@@](O)(C(=O)O)C[C@@H](O)[C@@H]1O
ZINC000020268617,NC(=O)[C@@H]1CNCCN1
ZINC000039064406,NC(=O)[C@@H]1C[C@@H](O)CCN1
ZINC000060261394,NCCC[C@@H](N)C(=O)NCC(=O)O
ZINC000035529671,COC(=O)[C@@H](N)CCC(N)=O
ZINC000014591194,C=C(CO)[C@H](O)CO
ZINC000001605651,C[C@H](O)[C@H](NC(=O)CN)C(=O)O
ZINC000004533815,C[C@H](O)[C@@H](NC(=O)[C@@H](C)N)C(=O)O
ZINC000001530444,O=C(O)[C@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@H]1O
ZINC000100029048,O=C(O)[C@@H](O)[C@H](O)[C@H](O)C(=O)CO
ZINC000100388191,C[C@H](O)[C@@H](N)C(=O)NC=C(O)O
ZINC000013438842,CC(=O)NC[C@@H](N)C(=O)O
ZINC000000901672,CC(=O)[C@H](N)C(=O)O
ZINC000005732181,CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
ZINC000100386037,NC(=O)C[C@@H](N)C(=O)NC=C(O)O
ZINC000001659811,NC(=O)CNCCS(=O)(=O)O
ZINC000013438109,NC[C@H](O)C[C@@H](N)CC(=O)O
ZINC000006157435,N[C@@H]1[C@H](O)[C@H](O)O[C@H](CO)[C@@H]1O
ZINC000001637971,NCCC(=O)NCCC(=O)O
ZINC000004026582,CO[C@H]1O[C@H](CO)[C@@H](O)C[C@@H]1O
ZINC000000895103,C[C@@H](O)[C@H](N)C(=O)O
